# Photodissociation rates from Table D.5 in Padovani et al. (2024), https://arxiv.org/abs/2312.02062
species,para,ortho,o:p=3.1
Al,0.000000e+00,0.000000e+00,0.000000e+00
AlH,1.495000e+01,1.497000e+01,1.496500e+01
C,0.000000e+00,0.000000e+00,0.000000e+00
C2,2.011000e+02,2.010000e+02,2.010250e+02
C2H,1.088000e+03,1.202000e+03,1.173500e+03
C2H-,0.000000e+00,0.000000e+00,0.000000e+00
C2H2,1.410000e+03,1.121000e+03,1.193250e+03
C2H3,1.498000e+02,1.497000e+02,1.497250e+02
C2H4,1.901000e+03,1.903000e+03,1.902500e+03
C2H5,2.495000e+02,2.476000e+02,2.480750e+02
C2H5OH,1.999000e+03,2.020000e+03,2.014750e+03
C2H6,1.762000e+03,1.792000e+03,1.784500e+03
C3,3.233000e+03,3.184000e+03,3.196250e+03
C3H3,2.505000e+01,2.508000e+01,2.507250e+01
C3H7OH,3.290000e+03,3.344000e+03,3.330500e+03
C4H-,0.000000e+00,0.000000e+00,0.000000e+00
C6H-,0.000000e+00,0.000000e+00,0.000000e+00
CH,5.571000e+02,5.409000e+02,5.449500e+02
CH+,3.077000e+02,2.924000e+02,2.962250e+02
CH2,1.704000e+02,1.686000e+02,1.690500e+02
CH2+,1.063000e+02,1.053000e+02,1.055500e+02
CH3,1.279000e+02,1.353000e+02,1.334500e+02
CH3CHO,1.127000e+03,1.139000e+03,1.136000e+03
CH3CN,2.759000e+03,2.835000e+03,2.816000e+03
CH3NH2,2.174000e+02,2.147000e+02,2.153750e+02
CH3OCH3,1.301000e+03,1.301000e+03,1.301000e+03
CH3OCHO,1.522000e+03,1.532000e+03,1.529500e+03
CH3OH,1.202000e+03,1.209000e+03,1.207250e+03
CH3SH,1.541000e+03,1.550000e+03,1.547750e+03
CH4,1.398000e+03,1.409000e+03,1.406250e+03
CH4+,2.535000e+02,2.518000e+02,2.522250e+02
CN,6.169000e+02,6.296000e+02,6.264250e+02
CO,1.491000e+02,8.739000e+01,1.028175e+02
CO+,6.850000e+01,7.230000e+01,7.135000e+01
CO2,8.542000e+02,9.430000e+02,9.208000e+02
CS,8.464000e+02,6.768000e+02,7.192000e+02
CS2,3.744000e+03,3.539000e+03,3.590250e+03
Ca,0.000000e+00,0.000000e+00,0.000000e+00
Ca+,0.000000e+00,0.000000e+00,0.000000e+00
Cl,0.000000e+00,0.000000e+00,0.000000e+00
Cr,0.000000e+00,0.000000e+00,0.000000e+00
Fe,0.000000e+00,0.000000e+00,0.000000e+00
H,0.000000e+00,0.000000e+00,0.000000e+00
H-,0.000000e+00,0.000000e+00,0.000000e+00
H2,0.000000e+00,0.000000e+00,0.000000e+00
H2+,4.435000e+02,4.512000e+02,4.492750e+02
H2CO,8.342000e+02,8.101000e+02,8.161250e+02
H2CS,1.287000e+03,1.288000e+03,1.287750e+03
H2O,6.336000e+02,6.281000e+02,6.294750e+02
H2O2,5.089000e+02,5.156000e+02,5.139250e+02
H2S,1.858000e+03,1.888000e+03,1.880500e+03
H3+,3.040000e-01,2.314000e-01,2.495500e-01
HC3H,4.010000e+02,4.065000e+02,4.051250e+02
HC3N,3.892000e+03,3.885000e+03,3.886750e+03
HCN,1.462000e+03,1.487000e+03,1.480750e+03
HCO,2.717000e+02,2.590000e+02,2.621750e+02
HCO+,4.526000e+00,5.602000e+00,5.333000e+00
HCOOH,1.316000e+03,1.341000e+03,1.334750e+03
HCl,1.531000e+03,1.387000e+03,1.423000e+03
HCl+,9.453000e+01,9.294000e+01,9.333750e+01
HF,1.411000e+02,1.426000e+02,1.422250e+02
HNC,1.313000e+03,1.326000e+03,1.322750e+03
HNCO,1.940000e+03,1.967000e+03,1.960250e+03
HO2,1.018000e+02,1.011000e+02,1.012750e+02
K,0.000000e+00,0.000000e+00,0.000000e+00
Li,0.000000e+00,0.000000e+00,0.000000e+00
LiH,1.515000e+02,1.511000e+02,1.512000e+02
Mg,0.000000e+00,0.000000e+00,0.000000e+00
MgH,9.977000e+01,1.124000e+02,1.092425e+02
Mn,0.000000e+00,0.000000e+00,0.000000e+00
N,0.000000e+00,0.000000e+00,0.000000e+00
N2,4.443000e+01,5.001000e+01,4.861500e+01
N2O,1.358000e+03,1.383000e+03,1.376750e+03
NH,2.669000e+02,2.573000e+02,2.597000e+02
NH+,2.421000e+01,2.389000e+01,2.397000e+01
NH2,4.432000e+02,4.466000e+02,4.457500e+02
NH2CHO,1.628000e+03,1.633000e+03,1.631750e+03
NH3,8.540000e+02,8.318000e+02,8.373500e+02
NO,2.363000e+02,2.314000e+02,2.326250e+02
NO2,7.991000e+02,8.017000e+02,8.010500e+02
Na,0.000000e+00,0.000000e+00,0.000000e+00
NaCl,5.056000e+01,5.063000e+01,5.061250e+01
NaH,2.411000e+02,2.469000e+02,2.454500e+02
Ni,0.000000e+00,0.000000e+00,0.000000e+00
O,0.000000e+00,0.000000e+00,0.000000e+00
O2,3.893000e+02,3.939000e+02,3.927500e+02
O2+,1.660000e+01,1.717000e+01,1.702750e+01
O3,7.306000e+02,7.446000e+02,7.411000e+02
OCS,2.958000e+03,2.884000e+03,2.902500e+03
OH,3.507000e+02,3.561000e+02,3.547500e+02
OH+,1.269000e+01,1.235000e+01,1.243500e+01
P,0.000000e+00,0.000000e+00,0.000000e+00
PH,4.361000e+02,4.188000e+02,4.231250e+02
PH+,7.810000e+01,7.966000e+01,7.927000e+01
Rb,0.000000e+00,0.000000e+00,0.000000e+00
S,0.000000e+00,0.000000e+00,0.000000e+00
S2,3.120000e+01,3.112000e+01,3.114000e+01
SH,4.668000e+02,4.588000e+02,4.608000e+02
SH+,6.381000e+02,6.279000e+02,6.304500e+02
SO,3.734000e+03,3.783000e+03,3.770750e+03
SO2,2.084000e+03,2.094000e+03,2.091500e+03
Si,0.000000e+00,0.000000e+00,0.000000e+00
SiH,1.946000e+02,1.964000e+02,1.959500e+02
SiH+,9.179000e+02,9.427000e+02,9.365000e+02
SiO,7.939000e+02,8.243000e+02,8.167000e+02
Ti,0.000000e+00,0.000000e+00,0.000000e+00
Zn,0.000000e+00,0.000000e+00,0.000000e+00
c-C3H,1.931000e+02,1.903000e+02,1.910000e+02
c-C3H2,3.100000e+02,3.132000e+02,3.124000e+02
l-C3H,1.570000e+03,1.516000e+03,1.529500e+03
l-C3H2,1.856000e+03,1.830000e+03,1.836500e+03
l-C4,4.642000e+02,4.658000e+02,4.654000e+02
l-C4H,2.737000e+03,2.730000e+03,2.731750e+03
l-C5H,4.635000e+01,4.638000e+01,4.637250e+01
