# Photoionisation rates from Table D.2 in Padovani et al. (2024), https://arxiv.org/abs/2312.02062
species,para,ortho,o:p=3.1
Al,1.023000e+03,9.708000e+02,9.838500e+02
AlH,6.841000e+01,6.918000e+01,6.898750e+01
C,2.333000e+02,2.381000e+02,2.369000e+02
C2,2.193000e+02,2.055000e+02,2.089500e+02
C2H,4.367000e+02,4.197000e+02,4.239500e+02
C2H-,6.119000e+02,6.107000e+02,6.110000e+02
C2H2,3.733000e+02,3.603000e+02,3.635500e+02
C2H3,1.335000e+03,1.349000e+03,1.345500e+03
C2H4,2.668000e+02,2.617000e+02,2.629750e+02
C2H5,2.401000e+02,2.425000e+02,2.419000e+02
C2H5OH,3.620000e+02,3.484000e+02,3.518000e+02
C2H6,1.827000e+02,1.687000e+02,1.722000e+02
C3,9.367000e+01,9.051000e+01,9.130000e+01
C3H3,1.022000e+03,1.035000e+03,1.031750e+03
C3H7OH,5.667000e+02,5.468000e+02,5.517750e+02
C4H-,5.022000e+02,5.013000e+02,5.015250e+02
C6H-,3.042000e+02,3.036000e+02,3.037500e+02
CH,1.621000e+02,1.624000e+02,1.623250e+02
CH+,0.000000e+00,0.000000e+00,0.000000e+00
CH2,0.000000e+00,0.000000e+00,0.000000e+00
CH2+,0.000000e+00,0.000000e+00,0.000000e+00
CH3,2.433000e+02,2.458000e+02,2.451750e+02
CH3CHO,6.120000e+02,6.256000e+02,6.222000e+02
CH3CN,9.682000e+01,8.834000e+01,9.046000e+01
CH3NH2,1.157000e+03,1.160000e+03,1.159250e+03
CH3OCH3,8.670000e+02,8.654000e+02,8.658000e+02
CH3OCHO,2.178000e+02,2.114000e+02,2.130000e+02
CH3OH,2.314000e+02,2.256000e+02,2.270500e+02
CH3SH,1.354000e+03,1.379000e+03,1.372750e+03
CH4,2.330000e+01,2.039000e+01,2.111750e+01
CH4+,0.000000e+00,0.000000e+00,0.000000e+00
CN,7.371000e+00,5.584000e+00,6.030750e+00
CO,1.438000e+01,1.029000e+01,1.131250e+01
CO+,0.000000e+00,0.000000e+00,0.000000e+00
CO2,1.144000e+01,9.550000e+00,1.002250e+01
CS,6.684000e+01,6.861000e+01,6.816750e+01
CS2,2.770000e+02,2.782000e+02,2.779000e+02
Ca,1.116000e+02,1.110000e+02,1.111500e+02
Ca+,1.585000e+00,1.465000e+00,1.495000e+00
Cl,5.409000e+01,5.322000e+01,5.343750e+01
Cr,4.909000e+02,4.967000e+02,4.952500e+02
Fe,2.064000e+02,2.093000e+02,2.085750e+02
H,4.078000e+00,3.615000e+00,3.730750e+00
H-,9.240000e+02,9.247000e+02,9.245250e+02
H2,0.000000e+00,0.000000e+00,0.000000e+00
H2+,0.000000e+00,0.000000e+00,0.000000e+00
H2CO,2.703000e+02,2.683000e+02,2.688000e+02
H2CS,1.066000e+03,1.065000e+03,1.065250e+03
H2O,2.289000e+01,2.106000e+01,2.151750e+01
H2O2,1.804000e+02,1.730000e+02,1.748500e+02
H2S,5.771000e+02,5.735000e+02,5.744000e+02
H3+,0.000000e+00,0.000000e+00,0.000000e+00
HC3H,1.290000e+03,1.306000e+03,1.302000e+03
HC3N,1.696000e+02,1.575000e+02,1.605250e+02
HCN,1.401000e+01,1.136000e+01,1.202250e+01
HCO,5.843000e+02,5.904000e+02,5.888750e+02
HCO+,0.000000e+00,0.000000e+00,0.000000e+00
HCOOH,2.035000e+02,1.966000e+02,1.983250e+02
HCl,4.771000e+01,4.243000e+01,4.375000e+01
HCl+,0.000000e+00,0.000000e+00,0.000000e+00
HF,1.026000e-02,9.336000e-03,9.567000e-03
HNC,1.518000e+02,1.370000e+02,1.407000e+02
HNCO,7.642000e+01,7.172000e+01,7.289500e+01
HO2,5.597000e+01,5.442000e+01,5.480750e+01
K,1.608000e+01,1.606000e+01,1.606500e+01
Li,1.130000e+02,1.126000e+02,1.127000e+02
LiH,0.000000e+00,0.000000e+00,0.000000e+00
Mg,4.863000e+01,4.797000e+01,4.813500e+01
MgH,0.000000e+00,0.000000e+00,0.000000e+00
Mn,1.444000e+01,1.453000e+01,1.450750e+01
N,9.865000e-01,8.447000e-01,8.801500e-01
N2,1.759000e-01,1.312000e-01,1.423750e-01
N2O,1.079000e+02,1.061000e+02,1.065500e+02
NH,7.819000e+00,6.735000e+00,7.006000e+00
NH+,0.000000e+00,0.000000e+00,0.000000e+00
NH2,6.265000e+01,6.122000e+01,6.157750e+01
NH2CHO,3.739000e+02,3.681000e+02,3.695500e+02
NH3,1.887000e+02,1.896000e+02,1.893750e+02
NO,1.793000e+02,1.791000e+02,1.791500e+02
NO2,1.032000e+02,1.009000e+02,1.014750e+02
Na,6.693000e+00,6.704000e+00,6.701250e+00
NaCl,0.000000e+00,0.000000e+00,0.000000e+00
NaH,0.000000e+00,0.000000e+00,0.000000e+00
Ni,4.789000e+01,4.887000e+01,4.862500e+01
O,2.668000e+00,2.358000e+00,2.435500e+00
O2,3.338000e+01,2.656000e+01,2.826500e+01
O2+,0.000000e+00,0.000000e+00,0.000000e+00
O3,3.324000e+01,3.048000e+01,3.117000e+01
OCS,5.284000e+02,5.053000e+02,5.110750e+02
OH,1.662000e+01,1.569000e+01,1.592250e+01
OH+,0.000000e+00,0.000000e+00,0.000000e+00
P,1.330000e+03,1.359000e+03,1.351750e+03
PH,0.000000e+00,0.000000e+00,0.000000e+00
PH+,0.000000e+00,0.000000e+00,0.000000e+00
Rb,1.095000e+01,1.102000e+01,1.100250e+01
S,7.989000e+02,7.278000e+02,7.455750e+02
S2,1.667000e+03,1.699000e+03,1.691000e+03
SH,9.110000e+02,9.244000e+02,9.210500e+02
SH+,0.000000e+00,0.000000e+00,0.000000e+00
SO,4.034000e+02,4.298000e+02,4.232000e+02
SO2,1.056000e+02,9.662000e+01,9.886500e+01
Si,2.030000e+03,2.000000e+03,2.007500e+03
SiH,3.141000e+03,3.146000e+03,3.144750e+03
SiH+,0.000000e+00,0.000000e+00,0.000000e+00
SiO,0.000000e+00,0.000000e+00,0.000000e+00
Ti,1.299000e+02,1.312000e+02,1.308750e+02
Zn,4.198000e+02,3.045000e+02,3.333250e+02
c-C3H,9.757000e+02,9.857000e+02,9.832000e+02
c-C3H2,1.227000e+03,1.243000e+03,1.239000e+03
l-C3H,9.998000e+02,1.012000e+03,1.008950e+03
l-C3H2,0.000000e+00,0.000000e+00,0.000000e+00
l-C4,0.000000e+00,0.000000e+00,0.000000e+00
l-C4H,0.000000e+00,0.000000e+00,0.000000e+00
l-C5H,0.000000e+00,0.000000e+00,0.000000e+00
