# Photodissociation rates from Table D.3 in Padovani et al. (2024), https://arxiv.org/abs/2312.02062
species,para,ortho,o:p=3.1
Al,0.000000e+00,0.000000e+00,0.000000e+00
AlH,1.359000e+01,1.361000e+01,1.360500e+01
C,0.000000e+00,0.000000e+00,0.000000e+00
C2,1.622000e+02,1.620000e+02,1.620500e+02
C2H,8.901000e+02,9.808000e+02,9.581250e+02
C2H-,0.000000e+00,0.000000e+00,0.000000e+00
C2H2,1.174000e+03,9.373000e+02,9.964750e+02
C2H3,1.353000e+02,1.352000e+02,1.352250e+02
C2H4,1.581000e+03,1.581000e+03,1.581000e+03
C2H5,2.202000e+02,2.185000e+02,2.189250e+02
C2H5OH,1.635000e+03,1.650000e+03,1.646250e+03
C2H6,1.428000e+03,1.451000e+03,1.445250e+03
C3,2.764000e+03,2.721000e+03,2.731750e+03
C3H3,2.269000e+01,2.271000e+01,2.270500e+01
C3H7OH,2.692000e+03,2.733000e+03,2.722750e+03
C4H-,0.000000e+00,0.000000e+00,0.000000e+00
C6H-,0.000000e+00,0.000000e+00,0.000000e+00
CH,4.776000e+02,4.639000e+02,4.673250e+02
CH+,2.497000e+02,2.361000e+02,2.395000e+02
CH2,1.442000e+02,1.426000e+02,1.430000e+02
CH2+,8.697000e+01,8.563000e+01,8.596500e+01
CH3,1.068000e+02,1.131000e+02,1.115250e+02
CH3CHO,9.463000e+02,9.556000e+02,9.532750e+02
CH3CN,2.230000e+03,2.288000e+03,2.273500e+03
CH3NH2,1.847000e+02,1.824000e+02,1.829750e+02
CH3OCH3,1.071000e+03,1.070000e+03,1.070250e+03
CH3OCHO,1.261000e+03,1.269000e+03,1.267000e+03
CH3OH,9.874000e+02,9.915000e+02,9.904750e+02
CH3SH,1.283000e+03,1.289000e+03,1.287500e+03
CH4,1.135000e+03,1.141000e+03,1.139500e+03
CH4+,2.069000e+02,2.052000e+02,2.056250e+02
CN,4.992000e+02,5.079000e+02,5.057250e+02
CO,1.348000e+02,7.593000e+01,9.064750e+01
CO+,5.509000e+01,5.814000e+01,5.737750e+01
CO2,6.932000e+02,7.631000e+02,7.456250e+02
CS,6.976000e+02,5.576000e+02,5.926000e+02
CS2,3.110000e+03,2.927000e+03,2.972750e+03
Ca,0.000000e+00,0.000000e+00,0.000000e+00
Ca+,0.000000e+00,0.000000e+00,0.000000e+00
Cl,0.000000e+00,0.000000e+00,0.000000e+00
Cr,0.000000e+00,0.000000e+00,0.000000e+00
Fe,0.000000e+00,0.000000e+00,0.000000e+00
H,0.000000e+00,0.000000e+00,0.000000e+00
H-,0.000000e+00,0.000000e+00,0.000000e+00
H2,4.609000e+02,4.417000e+02,4.465000e+02
H2+,3.614000e+02,3.673000e+02,3.658250e+02
H2CO,6.869000e+02,6.664000e+02,6.715250e+02
H2CS,1.063000e+03,1.063000e+03,1.063000e+03
H2O,5.237000e+02,5.182000e+02,5.195750e+02
H2O2,4.179000e+02,4.233000e+02,4.219500e+02
H2S,1.528000e+03,1.551000e+03,1.545250e+03
H3+,2.627000e-01,1.996000e-01,2.153750e-01
HC3H,3.557000e+02,3.605000e+02,3.593000e+02
HC3N,3.197000e+03,3.190000e+03,3.191750e+03
HCN,1.189000e+03,1.207000e+03,1.202500e+03
HCO,2.300000e+02,2.193000e+02,2.219750e+02
HCO+,3.612000e+00,4.467000e+00,4.253250e+00
HCOOH,1.086000e+03,1.106000e+03,1.101000e+03
HCl,1.240000e+03,1.121000e+03,1.150750e+03
HCl+,7.726000e+01,7.569000e+01,7.608250e+01
HF,1.151000e+02,1.162000e+02,1.159250e+02
HNC,1.074000e+03,1.083000e+03,1.080750e+03
HNCO,1.583000e+03,1.604000e+03,1.598750e+03
HO2,8.531000e+01,8.467000e+01,8.483000e+01
K,0.000000e+00,0.000000e+00,0.000000e+00
Li,0.000000e+00,0.000000e+00,0.000000e+00
LiH,1.392000e+02,1.388000e+02,1.389000e+02
Mg,0.000000e+00,0.000000e+00,0.000000e+00
MgH,8.493000e+01,9.560000e+01,9.293250e+01
Mn,0.000000e+00,0.000000e+00,0.000000e+00
N,0.000000e+00,0.000000e+00,0.000000e+00
N2,3.921000e+01,4.679000e+01,4.489500e+01
N2O,1.098000e+03,1.118000e+03,1.113000e+03
NH,2.187000e+02,2.105000e+02,2.125500e+02
NH+,1.972000e+01,1.938000e+01,1.946500e+01
NH2,3.732000e+02,3.758000e+02,3.751500e+02
NH2CHO,1.371000e+03,1.374000e+03,1.373250e+03
NH3,6.968000e+02,6.780000e+02,6.827000e+02
NO,1.959000e+02,1.913000e+02,1.924500e+02
NO2,6.576000e+02,6.598000e+02,6.592500e+02
Na,0.000000e+00,0.000000e+00,0.000000e+00
NaCl,4.562000e+01,4.568000e+01,4.566500e+01
NaH,2.189000e+02,2.237000e+02,2.225000e+02
Ni,0.000000e+00,0.000000e+00,0.000000e+00
O,0.000000e+00,0.000000e+00,0.000000e+00
O2,3.293000e+02,3.323000e+02,3.315500e+02
O2+,1.440000e+01,1.485000e+01,1.473750e+01
O3,6.035000e+02,6.144000e+02,6.116750e+02
