# Photodissociation rates from Table D.3 in Padovani et al. (2024), https://arxiv.org/abs/2312.02062
species,para,ortho,o:p=3.1
OCS,2.487000e+03,2.424000e+03,2.439750e+03
OH,2.896000e+02,2.937000e+02,2.926750e+02
OH+,1.030000e+01,9.962000e+00,1.004650e+01
P,0.000000e+00,0.000000e+00,0.000000e+00
PH,3.658000e+02,3.516000e+02,3.551500e+02
PH+,6.336000e+01,6.455000e+01,6.425250e+01
Rb,0.000000e+00,0.000000e+00,0.000000e+00
S,0.000000e+00,0.000000e+00,0.000000e+00
S2,2.870000e+01,2.862000e+01,2.864000e+01
SH,3.956000e+02,3.888000e+02,3.905000e+02
SH+,5.163000e+02,5.062000e+02,5.087250e+02
SO,3.042000e+03,3.082000e+03,3.072000e+03
SO2,1.698000e+03,1.705000e+03,1.703250e+03
Si,0.000000e+00,0.000000e+00,0.000000e+00
SiH,1.732000e+02,1.748000e+02,1.744000e+02
SiH+,7.474000e+02,7.673000e+02,7.623250e+02
SiO,6.452000e+02,6.681000e+02,6.623750e+02
Ti,0.000000e+00,0.000000e+00,0.000000e+00
Zn,0.000000e+00,0.000000e+00,0.000000e+00
c-C3H,1.682000e+02,1.658000e+02,1.664000e+02
c-C3H2,2.638000e+02,2.669000e+02,2.661250e+02
l-C3H,1.359000e+03,1.313000e+03,1.324500e+03
l-C3H2,1.551000e+03,1.528000e+03,1.533750e+03
l-C4,4.224000e+02,4.239000e+02,4.235250e+02
l-C4H,2.377000e+03,2.371000e+03,2.372500e+03
l-C5H,4.208000e+01,4.210000e+01,4.209500e+01
